Unnamed: 0.1,cd_loc,latlong,lat,long,district
4382,용호동 용호로159번길 65 부근,"[35.1173547, 129.1151895]",35.1173547,129.1151895,685.0
4383,용호동 이기대공원로 장수두부 부근,"[35.1241037, 129.1144762]",35.1241037,129.1144762,682.0
4384,용호동 용호로110번길 31 부근,"[35.1224065, 129.1112281]",35.1224065,129.1112281,613.0
4385,용당동 유엔평화로143번길 용궁횟집 부근,"[35.1237284, 129.0973122]",35.1237284,129.0973122,438.0
4386,용당동 창조아파트부근,"[35.1240337, 129.0959745]",35.124033700000005,129.0959745,437.0
4387,용호동 동명로145번길 27 부근,"[35.1207525, 129.1128815]",35.1207525,129.1128815,649.0
4388,용호동 용호사거리CCTV(곡각/사선),"[35.1196179, 129.1120565]",35.1196179,129.1120565,649.0
4389,용호동 동명로132번길 71 부근,"[35.1166384, 129.1104417]",35.1166384,129.11044170000002,616.0
4390,용호동 용호로178번길 최나미아헤어 부근,"[35.116644, 129.1098392]",35.116644,129.1098392,616.0
4391,용호1동 GS하이츠자이아파트부근(사선),"[35.1327553, 129.1109465]",35.13275529999999,129.1109465,608.0
4392,용호동 동명로145번길 6 부근,"[35.1155121, 129.115598]",35.115512100000004,129.115598,686.0
4393,감만동 우암로 칠성오토바이 부근,"[35.1144147, 129.0814335]",35.114414700000005,129.0814335,232.0
4394,대연동 유엔평화로76번길 26 부근(횡단보도),"[35.1276003, 129.0927762]",35.1276003,129.0927762,401.0
4395,감만동 석포로64번길 45 부근,"[35.121753, 129.0889676]",35.121753000000005,129.0889676,333.0
4396,대연동 유엔로120번가길 4 부근(횡단보도),"[35.129802, 129.089619]",35.129802000000005,129.089619,330.0
4397,대연동 신선로447번길 대연수목전시관 부근,"[35.1255614, 129.0988631]",35.1255614,129.09886310000002,472.0
4398,용호동 동명로92번길 동명생활관입구 부근(곡각지),"[35.1175412, 129.107233]",35.1175412,129.107233,580.0
4399,대연동 석포농협CCTV(곡각/횡단보도),"[35.8055801, 127.1228535]",35.8055801,127.12285349999999,
4400,대연동 유엔로120번길 천탁 부근(곡각/횡단보도),"[35.129676, 129.0906263]",35.129676,129.0906263,365.0
4401,용호동 동명로145번가길 24호 부근,"[35.1197107, 129.1140445]",35.1197107,129.1140445,649.0
4402,대연동 용소로40번길 비주얼 박스 부근,"[35.1339012, 129.1008282]",35.133901200000004,129.10082820000002,503.0
4403,대연동 수영로267번길 57 부근,"[35.1379832, 129.0948941]",35.13798320000001,129.09489409999998,396.0
4404,용호동 용호로159번길 용산초등후문 부근,"[35.11650700000001, 129.116278]",35.11650700000001,129.116278,686.0
4405,용호동 용호로178번길 18 부근,"[35.1163404, 129.1103345]",35.1163404,129.1103345,616.0
4406,용호동 동명로 195 부근,"[35.1179068, 129.1177816]",35.1179068,129.1177816,720.0
4407,문현2동 문현이마트부근(사선),"[35.1443594, 129.0642591]",35.1443594,129.06425910000002,8.0
4408,문현동 수영로39번가길 27 부근,"[35.1387538, 129.0759204]",35.138753799999996,129.0759204,151.0
